x	xend	y	yend
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
1	15	3.04175370688883	9.56778365237878
